#assembly=GRCh37
#Chrom	Start	End	Phenotype	OMIM_ID	Repeat_numbers	Allele_counts	Classifications	Classification_ranges
3	63898361	63898390	Spinocerebellar ataxia 7	164500	7,8,9,10,11,12,13,15	2,1,4,144,22,24,2,1	Normal, Mutable normal, Reduced penetrance, Full penetrance	0-27, 28-33, 34-36, 37-inf
4	3076604	3076660	Huntington disease	143100	11,12,15,16,17,18,19,20,21,22,23,24,25,27,28	1,2,22,22,56,32,25,12,7,7,2,6,2,2,2	Normal, Intermediate, Reduced penetrance, Full penetrance	0-26, 27-35, 36-39, 40-inf
5	146258291	146258320	Spinocerebellar ataxia 12	604326	9,10,11,13,14,15,16,17,19,23	26,69,3,33,25,19,13,8,3,1	Normal, Questionable significance, Full penetrance	0-32, 33-65, 66-inf
9	27573527	27573544	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	105550	2,3,4,5,6,7,8,9,10,11,12,19,23,28	87,2,22,12,18,21,13,10,9,1,2,1,1,1	Normal, Expanded	0-30, 31-inf
9	71652203	71652220	Friedreich ataxia	229300	5,6,7,8,9,10,13,14,16,17,18,21,24,25,26	8,7,1,82,81,2,4,1,3,3,3,2,1,1,1	Normal, Mutable normal, Full penetrance	0-33, 34-65, 66-inf
11	119077000	119077032	Jacobsen syndrome	147791	4,8,10,11,12,13,14,15,16,17,18,20,22	1,20,4,127,24,5,7,4,3,1,1,2,1	Normal, Pathogenic	0-80, 81-inf
12	7045880	7045936	Dentatorubro-pallidoluysian atrophy	125370	7,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,30	1,2,7,7,10,3,27,45,13,32,9,23,11,3,5,1,1	Normal, Mutable normal, Full penetrance	0-35, 36-47, 48-inf
12	112036754	112036822	Spinocerebellar ataxia 2	183090	19,20,21,22,23,24,26,29,30,35	1,1,1,149,40,3,1,2,1,1	Normal, Intermediate, Pathogenic	0-31, 32-32, 33-inf
16	87637894	87637935	Huntington disease-like 2	606438	5,13,14,15,16,17,18,19,20,22,23,26,27,28,29,33	1,17,88,32,28,9,7,5,1,1,1,4,2,1,2,1	Normal, Questionable significance, Full penetrance	0-28, 29-40, 41-inf
19	13318673	13318711	Spinocerebellar ataxia 6	183086	7,10,11,12,13,14	13,4,82,43,51,7	Normal, Unknown significance, Full penetrance	0-18, 19-19, 20-inf
19	46273463	46273522	Myotonic dystrophy 1	160900	5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,22,24,27,29,33	73,1,4,1,2,11,15,40,25,9,7,2,1,1,2,1,2,1,1,1	Normal, Mutable normal, Full penetrance	0-34, 35-49, 50-inf
21	45196325	45196360	Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	254800	2,3,4	86,112,2	Normal, Full penetrance	0-29, 30-inf
22	46191235	46191304	Spinocerebellar ataxia 10	603516	7,11,12,13,14,15,16,17,18,19	2,7,29,50,58,27,14,7,4,2	Normal, Reduced penetrance, Full penetrance	0-32, 33-799, 800-inf
X	66765159	66765227	Spinal and bulbar muscular atrophy of Kennedy	313200	14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31	1,2,5,18,16,13,9,22,19,8,13,10,6,3,2,2,1	Normal, Reduced penetrance, Full penetrance	0-35, 36-37, 38-inf
X	146993569	146993628	Fragile X syndrome	300624	6,15,20,22,23,24,25,28,29,30,31,32,33,35,36,37,39,40,43,48,54,56	1,1,2,6,4,2,1,1,56,38,19,1,1,1,6,2,2,1,1,1,1,2	Normal, Intermediate, Premutation, Full mutation	0-44, 45-54, 55-200, 200-inf
