# Sequence-Name	UCSC-style-name
1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
X	chrX
Y	chrY
CHR_HSCHR1_CTG1_UNLOCALIZED	chr1_KI270706v1_random
CHR_HSCHR1_CTG2_UNLOCALIZED	chr1_KI270707v1_random
CHR_HSCHR1_CTG3_UNLOCALIZED	chr1_KI270708v1_random
CHR_HSCHR1_CTG4_UNLOCALIZED	chr1_KI270709v1_random
CHR_HSCHR1_CTG5_UNLOCALIZED	chr1_KI270710v1_random
CHR_HSCHR1_CTG6_UNLOCALIZED	chr1_KI270711v1_random
CHR_HSCHR1_CTG7_UNLOCALIZED	chr1_KI270712v1_random
CHR_HSCHR1_CTG8_UNLOCALIZED	chr1_KI270713v1_random
CHR_HSCHR1_CTG9_UNLOCALIZED	chr1_KI270714v1_random
CHR_HSCHR2_RANDOM_CTG1	chr2_KI270715v1_random
CHR_HSCHR2_RANDOM_CTG2	chr2_KI270716v1_random
CHR_HSCHR3UN_CTG2	chr3_GL000221v1_random
CHR_HSCHR4_RANDOM_CTG4	chr4_GL000008v2_random
CHR_HSCHR5_RANDOM_CTG1	chr5_GL000208v1_random
CHR_HSCHR9_UNLOCALIZED_CTG1	chr9_KI270717v1_random
CHR_HSCHR9_UNLOCALIZED_CTG2	chr9_KI270718v1_random
CHR_HSCHR9_UNLOCALIZED_CTG3	chr9_KI270719v1_random
CHR_HSCHR9_UNLOCALIZED_CTG4	chr9_KI270720v1_random
CHR_HSCHR11_CTG1_UNLOCALIZED	chr11_KI270721v1_random
CHR_HSCHR14_CTG1_UNLOCALIZED	chr14_GL000009v2_random
CHR_HSCHR14_CTG4_UNLOCALIZED	chr14_GL000194v1_random
CHR_HSCHR14_CTG2_UNLOCALIZED	chr14_GL000225v1_random
CHR_HSCHR14_CTG3_UNLOCALIZED	chr14_KI270722v1_random
CHR_HSCHR14_CTG5_UNLOCALIZED	chr14_KI270723v1_random
CHR_HSCHR14_CTG6_UNLOCALIZED	chr14_KI270724v1_random
CHR_HSCHR14_CTG7_UNLOCALIZED	chr14_KI270725v1_random
CHR_HSCHR14_CTG8_UNLOCALIZED	chr14_KI270726v1_random
CHR_HSCHR15_RANDOM_CTG1	chr15_KI270727v1_random
CHR_HSCHR16_RANDOM_CTG1	chr16_KI270728v1_random
CHR_HSCHR17_RANDOM_CTG3	chr17_GL000205v2_random
CHR_HSCHR17_RANDOM_CTG4	chr17_KI270729v1_random
CHR_HSCHR17_RANDOM_CTG5	chr17_KI270730v1_random
CHR_HSCHR22_UNLOCALIZED_CTG1	chr22_KI270731v1_random
CHR_HSCHR22_UNLOCALIZED_CTG2	chr22_KI270732v1_random
CHR_HSCHR22_UNLOCALIZED_CTG3	chr22_KI270733v1_random
CHR_HSCHR22_UNLOCALIZED_CTG4	chr22_KI270734v1_random
CHR_HSCHR22_UNLOCALIZED_CTG5	chr22_KI270735v1_random
CHR_HSCHR22_UNLOCALIZED_CTG6	chr22_KI270736v1_random
CHR_HSCHR22_UNLOCALIZED_CTG7	chr22_KI270737v1_random
CHR_HSCHR22_UNLOCALIZED_CTG8	chr22_KI270738v1_random
CHR_HSCHR22_UNLOCALIZED_CTG9	chr22_KI270739v1_random
CHR_HSCHRY_RANDOM_CTG1	chrY_KI270740v1_random
CHR_HSCHRUN_RANDOM_CTG1	chrUn_GL000195v1
CHR_HSCHRUN_RANDOM_CTG2	chrUn_GL000213v1
CHR_HSCHRUN_RANDOM_CTG4	chrUn_GL000214v1
CHR_HSCHRUN_RANDOM_CTG6	chrUn_GL000216v2
CHR_HSCHRUN_RANDOM_CTG9	chrUn_GL000218v1
CHR_HSCHRUN_RANDOM_CTG10	chrUn_GL000219v1
CHR_HSCHRUN_RANDOM_CTG11	chrUn_GL000220v1
CHR_HSCHRUN_RANDOM_CTG16	chrUn_GL000224v1
CHR_HSCHRUN_RANDOM_CTG19	chrUn_GL000226v1
CHR_HSCHRUN_RANDOM_100	chrUn_KI270302v1
CHR_HSCHRUN_RANDOM_102	chrUn_KI270303v1
CHR_HSCHRUN_RANDOM_101	chrUn_KI270304v1
CHR_HSCHRUN_RANDOM_103	chrUn_KI270305v1
CHR_HSCHRUN_RANDOM_106	chrUn_KI270310v1
CHR_HSCHRUN_RANDOM_110	chrUn_KI270311v1
CHR_HSCHRUN_RANDOM_109	chrUn_KI270312v1
CHR_HSCHRUN_RANDOM_108	chrUn_KI270315v1
CHR_HSCHRUN_RANDOM_107	chrUn_KI270316v1
CHR_HSCHRUN_RANDOM_111	chrUn_KI270317v1
CHR_HSCHRUN_RANDOM_105	chrUn_KI270320v1
CHR_HSCHRUN_RANDOM_104	chrUn_KI270322v1
CHR_HSCHRUN_RANDOM_167	chrUn_KI270329v1
CHR_HSCHRUN_RANDOM_166	chrUn_KI270330v1
CHR_HSCHRUN_RANDOM_169	chrUn_KI270333v1
CHR_HSCHRUN_RANDOM_168	chrUn_KI270334v1
CHR_HSCHRUN_RANDOM_170	chrUn_KI270335v1
CHR_HSCHRUN_RANDOM_173	chrUn_KI270336v1
CHR_HSCHRUN_RANDOM_174	chrUn_KI270337v1
CHR_HSCHRUN_RANDOM_171	chrUn_KI270338v1
CHR_HSCHRUN_RANDOM_172	chrUn_KI270340v1
CHR_HSCHRUN_RANDOM_177	chrUn_KI270362v1
CHR_HSCHRUN_RANDOM_175	chrUn_KI270363v1
CHR_HSCHRUN_RANDOM_176	chrUn_KI270364v1
CHR_HSCHRUN_RANDOM_178	chrUn_KI270366v1
CHR_HSCHRUN_RANDOM_202	chrUn_KI270371v1
CHR_HSCHRUN_RANDOM_199	chrUn_KI270372v1
CHR_HSCHRUN_RANDOM_200	chrUn_KI270373v1
CHR_HSCHRUN_RANDOM_198	chrUn_KI270374v1
CHR_HSCHRUN_RANDOM_201	chrUn_KI270375v1
CHR_HSCHRUN_RANDOM_197	chrUn_KI270376v1
CHR_HSCHRUN_RANDOM_179	chrUn_KI270378v1
CHR_HSCHRUN_RANDOM_180	chrUn_KI270379v1
CHR_HSCHRUN_RANDOM_194	chrUn_KI270381v1
CHR_HSCHRUN_RANDOM_196	chrUn_KI270382v1
CHR_HSCHRUN_RANDOM_190	chrUn_KI270383v1
CHR_HSCHRUN_RANDOM_192	chrUn_KI270384v1
CHR_HSCHRUN_RANDOM_195	chrUn_KI270385v1
CHR_HSCHRUN_RANDOM_188	chrUn_KI270386v1
CHR_HSCHRUN_RANDOM_183	chrUn_KI270387v1
CHR_HSCHRUN_RANDOM_186	chrUn_KI270388v1
CHR_HSCHRUN_RANDOM_181	chrUn_KI270389v1
CHR_HSCHRUN_RANDOM_182	chrUn_KI270390v1
CHR_HSCHRUN_RANDOM_189	chrUn_KI270391v1
CHR_HSCHRUN_RANDOM_193	chrUn_KI270392v1
CHR_HSCHRUN_RANDOM_191	chrUn_KI270393v1
CHR_HSCHRUN_RANDOM_187	chrUn_KI270394v1
CHR_HSCHRUN_RANDOM_184	chrUn_KI270395v1
CHR_HSCHRUN_RANDOM_185	chrUn_KI270396v1
CHR_HSCHRUN_RANDOM_113	chrUn_KI270411v1
CHR_HSCHRUN_RANDOM_112	chrUn_KI270412v1
CHR_HSCHRUN_RANDOM_114	chrUn_KI270414v1
CHR_HSCHRUN_RANDOM_119	chrUn_KI270417v1
CHR_HSCHRUN_RANDOM_116	chrUn_KI270418v1
CHR_HSCHRUN_RANDOM_115	chrUn_KI270419v1
CHR_HSCHRUN_RANDOM_117	chrUn_KI270420v1
CHR_HSCHRUN_RANDOM_120	chrUn_KI270422v1
CHR_HSCHRUN_RANDOM_121	chrUn_KI270423v1
CHR_HSCHRUN_RANDOM_118	chrUn_KI270424v1
CHR_HSCHRUN_RANDOM_122	chrUn_KI270425v1
CHR_HSCHRUN_RANDOM_123	chrUn_KI270429v1
CHR_HSCHRUN_RANDOM_128	chrUn_KI270435v1
CHR_HSCHRUN_RANDOM_129	chrUn_KI270438v1
CHR_HSCHRUN_RANDOM_124	chrUn_KI270442v1
CHR_HSCHRUN_RANDOM_203	chrUn_KI270448v1
CHR_HSCHRUN_RANDOM_126	chrUn_KI270465v1
CHR_HSCHRUN_RANDOM_125	chrUn_KI270466v1
CHR_HSCHRUN_RANDOM_127	chrUn_KI270467v1
CHR_HSCHRUN_RANDOM_130	chrUn_KI270468v1
CHR_HSCHRUN_RANDOM_141	chrUn_KI270507v1
CHR_HSCHRUN_RANDOM_134	chrUn_KI270508v1
CHR_HSCHRUN_RANDOM_132	chrUn_KI270509v1
CHR_HSCHRUN_RANDOM_131	chrUn_KI270510v1
CHR_HSCHRUN_RANDOM_139	chrUn_KI270511v1
CHR_HSCHRUN_RANDOM_136	chrUn_KI270512v1
CHR_HSCHRUN_RANDOM_140	chrUn_KI270515v1
CHR_HSCHRUN_RANDOM_135	chrUn_KI270516v1
CHR_HSCHRUN_RANDOM_142	chrUn_KI270517v1
CHR_HSCHRUN_RANDOM_133	chrUn_KI270518v1
CHR_HSCHRUN_RANDOM_137	chrUn_KI270519v1
CHR_HSCHRUN_RANDOM_204	chrUn_KI270521v1
CHR_HSCHRUN_RANDOM_138	chrUn_KI270522v1
CHR_HSCHRUN_RANDOM_144	chrUn_KI270528v1
CHR_HSCHRUN_RANDOM_143	chrUn_KI270529v1
CHR_HSCHRUN_RANDOM_145	chrUn_KI270530v1
CHR_HSCHRUN_RANDOM_147	chrUn_KI270538v1
CHR_HSCHRUN_RANDOM_146	chrUn_KI270539v1
CHR_HSCHRUN_RANDOM_148	chrUn_KI270544v1
CHR_HSCHRUN_RANDOM_149	chrUn_KI270548v1
CHR_HSCHRUN_RANDOM_158	chrUn_KI270579v1
CHR_HSCHRUN_RANDOM_156	chrUn_KI270580v1
CHR_HSCHRUN_RANDOM_157	chrUn_KI270581v1
CHR_HSCHRUN_RANDOM_162	chrUn_KI270582v1
CHR_HSCHRUN_RANDOM_154	chrUn_KI270583v1
CHR_HSCHRUN_RANDOM_161	chrUn_KI270584v1
CHR_HSCHRUN_RANDOM_155	chrUn_KI270587v1
CHR_HSCHRUN_RANDOM_163	chrUn_KI270588v1
CHR_HSCHRUN_RANDOM_159	chrUn_KI270589v1
CHR_HSCHRUN_RANDOM_160	chrUn_KI270590v1
CHR_HSCHRUN_RANDOM_165	chrUn_KI270591v1
CHR_HSCHRUN_RANDOM_164	chrUn_KI270593v1
CHR_HSCHRUN_RANDOM_CTG17	chrUn_KI270741v1
CHR_HSCHRUN_RANDOM_CTG42	chrUn_KI270742v1
CHR_HSCHRUN_RANDOM_CTG20	chrUn_KI270743v1
CHR_HSCHRUN_RANDOM_CTG21	chrUn_KI270744v1
